Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Years_Established,NewTargetwithLOG
11.65,0,0.040577878,6,188.224,1999,1,0,1,25,7.17393379838335
12.857645184135976,0,0.10178199,8,104.699,1985,2,0,0,39,4.6366591630780345
17.0,0,0.126244059,9,124.6362,1997,2,0,1,27,8.268968265703576
12.857645184135976,0,0.053211728,4,177.6002,1985,1,2,3,39,9.038093027470683
12.857645184135976,0,0.009534758,13,64.551,1985,1,2,3,39,7.091549916925769
7.475,0,0.013146636,9,214.5192,2002,0,1,1,22,7.938926919412654
10.65,0,0.048785427,11,163.9526,2002,0,1,1,22,7.40520747578081
10.195,0,0.107307677,13,149.8076,1987,0,2,1,37,7.703961629133277
12.15,1,0.132058566,6,187.5872,2004,2,1,1,20,8.377702500249143
18.25,1,0.171093639,4,155.663,1999,1,0,1,25,7.617768917764483
12.857645184135976,1,0.065928735,2,183.0292,1985,1,2,3,39,9.013024642317175
12.857645184135976,0,0.043168763,14,82.8592,1985,2,0,0,39,5.10666279232377
14.15,0,0.036147029,14,39.3138,2007,0,1,1,17,6.269057267793635
7.72,0,0.12152072,6,118.244,1997,2,0,1,27,6.865632438728833
12.65,0,0.069565759,10,52.4324,2002,0,1,1,22,6.34783814564675
19.6,1,0.041571557,5,49.9376,1997,2,0,1,27,6.434849522636379
19.35,1,0.018600249,13,110.2544,2002,0,1,1,22,7.975294563583528
20.25,1,0.076160451,4,196.2794,1997,2,0,1,27,7.912463984791113
8.88,0,0.099024124,9,208.527,2009,1,2,2,15,8.053856886086631
16.6,0,0.136500981,7,173.3422,2007,0,1,1,17,8.32811593820627
7.485,0,0.069231189,13,112.1228,1999,1,0,1,25,7.103117107313701
11.5,0,0.017714096,8,132.9626,2009,1,2,2,15,7.274333047695147
13.5,1,0.017844609,13,81.396,1987,0,2,1,37,7.088775990043044
19.25,1,0.034770109,3,141.9496,2002,0,1,1,22,6.8957304698861135
12.857645184135976,0,0.005949644,9,165.6526,1985,1,2,3,39,8.469918212773239
7.85,0,0.162980276,7,145.2444,1997,2,0,1,27,7.280314201941922
19.6,0,0.039738393,13,163.7526,2009,1,2,2,15,7.99299414068293
12.15,0,0.14526636,8,224.0404,1999,1,0,1,25,8.124330142744016
12.857645184135976,0,0.039078047,9,128.3678,1985,1,2,3,39,8.064383299073619
20.75,1,0.063313974,2,153.7682,2004,2,1,1,20,7.511862699501028
10.6,0,0.011111714,1,43.8454,2002,0,1,1,22,6.508957494790101
